Unit,Timestep,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,Timestamp,is_user
176,1,42.0003,0.84,100.0,445.0,549.37,1345.94,1128.55,3.91,5.71,138.82,2211.84,8317.58,1.02,42.07,130.69,2387.95,8082.22,9.3796,0.02,331,2212,100.0,10.76,6.3382,2023-01-30,1
176,2,0.0021,0.0,100.0,518.67,642.25,1583.77,1402.43,14.62,21.61,553.61,2388.14,9047.48,1.3,47.39,522.14,2388.12,8138.43,8.4156,0.03,394,2388,100.0,39.06,23.3051,2023-01-31,1
176,3,25.0002,0.6212,60.0,462.54,537.03,1265.74,1043.04,7.05,9.03,175.61,1915.38,8009.75,0.94,36.78,164.5,2028.26,7874.99,10.8821,0.02,306,1915,84.93,14.41,8.7017,2023-02-01,1
176,4,41.9994,0.84,100.0,445.0,549.93,1350.62,1131.21,3.91,5.72,138.3,2211.91,8318.27,1.02,41.88,129.95,2387.97,8090.01,9.3628,0.02,330,2212,100.0,10.49,6.2807,2023-02-02,1
176,5,34.9998,0.84,100.0,449.44,555.71,1371.53,1130.0,5.48,8.0,195.51,2222.93,8353.92,1.03,41.7,183.04,2388.04,8071.9,9.2974,0.02,334,2223,100.0,14.82,8.9769,2023-02-03,1
176,6,0.0022,0.0,100.0,518.67,642.19,1591.86,1405.05,14.62,21.61,553.67,2388.09,9057.15,1.3,47.43,521.71,2388.1,8137.33,8.4049,0.03,392,2388,100.0,38.85,23.3016,2023-02-04,1
176,7,42.0066,0.8407,100.0,445.0,549.6,1348.2,1113.42,3.91,5.72,138.46,2211.91,8324.82,1.02,41.98,130.62,2387.98,8092.02,9.3647,0.02,330,2212,100.0,10.67,6.2972,2023-02-05,1
176,8,0.001,0.0,100.0,518.67,642.84,1589.51,1410.14,14.62,21.61,553.94,2388.06,9055.99,1.3,47.27,521.63,2388.06,8139.06,8.4208,0.03,391,2388,100.0,38.85,23.4192,2023-02-06,1
176,9,25.0023,0.62,60.0,462.54,537.08,1253.66,1049.3,7.05,9.03,175.82,1915.28,8002.89,0.94,36.63,164.68,2028.23,7874.44,10.9242,0.02,307,1915,84.93,14.35,8.6294,2023-02-07,1
176,10,42.0066,0.8401,100.0,445.0,549.81,1352.23,1123.95,3.91,5.71,139.18,2211.91,8323.41,1.02,41.95,130.73,2388.02,8082.06,9.3752,0.02,331,2212,100.0,10.6,6.3778,2023-02-08,1
