machine_id,time_stamp,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
176,1,42.0011,0.84,100.0,445.0,548.91,1338.59,1115.33,3.91,5.71,139.82,2211.95,8321.27,1.02,41.66,131.04,2387.98,8084.29,9.3464,0.02,329,2212,100.0,10.7,6.3151
176,2,42.0002,0.84,100.0,445.0,549.43,1352.45,1121.42,3.91,5.71,139.1,2212.01,8323.96,1.02,41.91,130.53,2388.06,8087.7,9.2961,0.02,329,2212,100.0,10.63,6.3091
176,3,0.0018,0.001,100.0,518.67,642.43,1580.82,1397.15,14.62,21.6,555.03,2388.02,9045.35,1.3,47.05,522.95,2387.96,8140.28,8.3613,0.03,390,2388,100.0,39.06,23.4366
176,4,42.0049,0.8401,100.0,445.0,549.07,1354.67,1118.76,3.91,5.71,138.77,2211.91,8323.54,1.02,41.76,130.42,2388.03,8080.82,9.3464,0.02,329,2212,100.0,10.73,6.321
176,5,42.0058,0.841,100.0,445.0,549.37,1346.95,1119.82,3.91,5.71,138.41,2211.98,8313.05,1.02,41.81,130.87,2388.04,8091.32,9.3336,0.02,329,2212,100.0,10.53,6.3508
176,6,20.0008,0.7001,100.0,491.19,607.0,1476.66,1246.21,9.35,13.65,334.62,2323.9,8715.79,1.08,44.12,315.39,2388.02,8057.38,9.1617,0.02,363,2324,100.0,24.56,14.7419
176,7,20.0069,0.7,100.0,491.19,606.87,1480.08,1235.37,9.35,13.65,335.04,2323.84,8713.31,1.08,44.01,315.51,2388.0,8062.16,9.1262,0.02,363,2324,100.0,24.8,14.7999
176,8,35.0079,0.84,100.0,449.44,554.85,1364.15,1117.95,5.48,8.0,193.89,2222.95,8344.27,1.02,41.65,183.5,2388.05,8066.39,9.2821,0.02,332,2223,100.0,15.11,8.8739
176,9,35.008,0.8403,100.0,449.44,555.46,1356.68,1123.69,5.48,8.0,194.54,2222.94,8343.84,1.02,41.72,183.67,2388.01,8068.9,9.278,0.02,333,2223,100.0,14.87,8.9633
176,10,20.0046,0.7,100.0,491.19,607.01,1478.49,1236.25,9.35,13.65,335.28,2323.84,8722.11,1.08,43.98,315.58,2388.03,8068.24,9.1467,0.02,365,2324,100.0,24.61,14.8172
